PD flag,PD proba,Stimulation proba (rounded),CTX rate (Hz),ISI mean (ms),ISI std (ms),,,
0,0.508,1,7.25,154.2142,55.5036,,,
0,0.252,0,3.375,226.25,27.09,,,
0,0.02,0,3.75,318.3083,42.4032,,,
0,0.342,0,2.875,178.5667,25.5582,,,
0,0.04,1,6.5,143.8117,32.1176,,,
0,0.171,1,6.375,161.4702,59.4304,,,
0,0.001,0,2.625,188.625,2.965,,,
0,0.008,0,3.125,346.3117,22.2194,,,
0,0,0,2.375,194.4467,2.4946,,,
0,0.017,1,6.25,145.6438,27.7247,,,
0,0.03,1,6.625,137.96,39.5488,,,
0,0.345,1,7.25,134.6818,41.8029,,,
0,0.235,1,7.25,147.1862,45.8901,,,
0,0.001,0,3.125,273.305,30.305,,,
0,0.017,0,3.625,313.405,53.2848,,,
0,0.083,1,6.625,138.2753,30.909,,,
0,0.013,1,6.5,138.6152,40.9746,,,
0,0.001,0,2.75,233.97,4.39,,,
0,0.539,0,4.375,242.075,53.0477,,,
0,0.003,0,2.875,248.595,9.115,,,
0,0.641,1,7.25,145.6927,33.2278,,,
0,0.081,1,6.625,152.1165,32.6734,,,
0,0.009,0,2.875,233.7167,33.5327,,,
0,0.002,0,2.875,259.735,16.4009,,,
0,0.001,0,3.125,276.335,18.675,,,
0,0.002,0,3,405.24,34.53,,,
0,0.003,1,4.25,176.51,51.3637,,,
0,0.009,1,5.875,153.0758,53.1812,,,
0,0.002,1,6.125,139.8067,39.5002,,,
0,0.009,1,6.25,138.5415,32.3881,,,
0,0.188,1,6.875,143.9302,35.322,,,
0,0.014,0,3,231.3067,18.0538,,,
0,0.014,0,2.75,189.075,16.525,,,
0,0.195,1,6.625,156.99,54.0012,,,
0,0.002,1,6,140.3625,35.5963,,,
0,0.007,1,6.375,141.5488,43.5454,,,
0,0.018,1,6.375,135.7793,32.302,,,
0,0.376,1,6.75,163.7952,58.5551,,,
0,0.485,1,7.25,145.516,36.831,,,
0,0.316,1,7,136.2043,34.9007,,,
0,0.023,1,5.625,159.02,67.7464,,,
0,0.132,1,7,148.4083,46.6712,,,
0,0,1,5.5,142.8985,37.8309,,,
0,0.024,1,6.25,130.8615,24.6948,,,
0,0.009,1,6.125,128.8867,25.9176,,,
0,0.173,1,6.375,164.7793,53.0572,,,
0,0.034,1,6.5,147.8855,34.2315,,,
0,0.001,0,2.625,191,7.96,,,
0,0.001,1,5.875,143.4767,35.8942,,,
0,0.907,1,7.75,129.2476,39.1407,,,
0,0.028,1,6.5,151.747,42.118,,,
0,0.366,0,3.625,247.7767,19.7777,,,
0,0.604,0,4.125,249.42,29.8704,,,
0,0.002,0,2.25,176.64,11.96,,,
0,0.533,0,2.125,137.935,31.975,,,
0,0.005,1,6.125,148.2778,32.299,,,
0,0.003,1,6.125,146.2945,38.8724,,,
0,0.226,1,7.25,144.886,44.9735,,,
0,0.043,1,6.5,146.5025,46.7705,,,
0,0.016,1,6.25,122.4278,29.8234,,,
0,0.006,0,3.5,333.1083,61.4837,,,
0,0.29,1,6.375,177.1282,59.2591,,,
0,0.121,1,6.875,151.1548,46.719,,,
0,0.046,0,3.125,218.57,19.02,,,
0,0.001,0,2.875,270.01,17.64,,,
0,0.064,0,3.375,253.91,18.76,,,
0,0,0,2.5,269.005,0.515,,,
0,0,0,2.375,189.945,0.525,,,
0,0.143,0,4.25,254.255,48.2101,,,
0,0,0,2.125,213.095,20.175,,,
0,0.044,0,3.875,279.33,55.6851,,,
0,0.006,0,3,250.065,9.745,,,
0,0.357,0,3.375,203.155,29.025,,,
0,0.361,0,3.375,210.5117,34.8142,,,
0,0.081,0,3.875,273.095,48.0792,,,
0,0.073,0,3.25,229.08,15.4904,,,
0,0,0,2.5,201.665,8.465,,,
0,0.014,0,3,250.02,27.82,,,
0,0.003,0,2.75,197.935,6.885,,,
0,0.007,1,6.25,152.5357,37.1669,,,
0,0.011,1,6,154.8793,46.6912,,,
0,0.067,1,6.75,150.5577,43.9002,,,
0,0.005,1,6.25,144.1685,42.5668,,,
0,0.078,0,3.25,244.7167,22.9791,,,
0,0.16,1,6.625,155.2335,50.0576,,,
0,0.158,1,6.25,165.022,59.0282,,,
0,0.893,1,7.625,138.8645,34.1119,,,
0,0.016,1,6.125,150.2662,50.586,,,
0,0.027,1,6.5,149.198,35.9314,,,
0,0.02,1,6.25,148.0377,49.1921,,,
0,0.083,0,4,274.5067,42.967,,,
0,0,1,5.625,144.2597,30.0259,,,
0,0.003,1,6.125,143.1618,41.5726,,,
0,0.006,0,3.75,330.0767,56.4973,,,
0,0.004,1,6,148.423,45.4352,,,
0,0.005,1,5.625,170.1142,34.1038,,,
0,0.119,1,7,145.3157,43.7817,,,
0,0.012,1,6.25,146.159,30.8676,,,
0,0.433,0,3.625,239.9217,12.5291,,,
0,0.001,0,2.75,234.645,7.995,,,
0,0.505,1,7.25,148.2225,35.9544,,,
0,0.023,1,6.625,143.1507,42.4641,,,
0,0.213,1,6.875,148.7985,34.471,,,
0,0,1,5.375,134.4233,36.4294,,,
0,0.129,1,6.375,157.21,57.8322,,,
0,0.012,1,6.375,136.3005,35.8266,,,
0,0.01,1,6.375,143.433,44.1379,,,
0,0.067,1,6.75,141.2355,38.6606,,,
0,0.004,1,6.125,139.5922,33.7917,,,
0,0.002,1,4.75,171.0615,43.6757,,,
0,0.005,1,5.75,155.3002,50.6661,,,
0,0.048,0,3.75,312.625,28.4268,,,
0,0.064,0,3,202.17,28.74,,,
0,0.383,0,3.5,230.9133,21.7603,,,
0,0.121,0,3.25,207.44,17.56,,,
0,0,0,2.75,361.235,5.275,,,
0,0.137,1,6.625,155.3003,48.1799,,,
0,0.123,1,7,139.0048,47.3171,,,
0,0.002,0,3.125,294.005,22.875,,,
0,0.001,1,5.5,156.1733,36.7714,,,
0,0.084,1,6.875,138.0973,45.7614,,,
0,0.952,0,4.125,236.0917,30.2471,,,
0,0.002,1,6,146.889,35.5494,,,
0,0.002,1,6,144.7387,33.1375,,,
0,0.046,1,6.125,158.3063,50.5722,,,
0,0.02,1,6.375,136.4515,31.6884,,,
0,0.584,0,2.375,132.32,9.39,,,
